Time,soc_R00229,soc_R00230,soc_R00231,soc_R00232,soc_R00233,soc_R00234,soc_R00235,soc_R00236,soc_R00237,soc_R00238,soc_R00239,soc_R00240
2024-06-27 20:30:00,317.21789183699104,607.6743293744245,542.0748233241324,587.1805150134359,606.6764424608182,542.6573967022237,587.053910773114,523.8494134930875,604.328200793691,491.4503336205521,517.4286902471331,549.9124031634459
2024-06-27 21:00:00,277.0162898983416,607.9954972380201,559.6394656771491,593.1299551568143,541.4080387646878,590.6818935696997,587.053910773114,523.8494134970422,604.3282007951741,422.99064495866696,566.2052898723234,549.9124031634459
2024-06-27 21:30:00,236.59931048341963,607.9999412546085,592.4132484609371,607.274674141945,589.4712970568867,524.8516269303236,587.053910773114,523.8494135009969,604.3282007966571,476.86168557919723,495.67167544760105,549.9124031634459
2024-06-27 22:00:00,236.5993104761624,538.9136754243266,592.4132484609371,607.274674141015,589.4712970565379,549.4959232942122,606.6764424644923,550.8821010462273,607.9194860291235,526.7112484597816,427.29686508868446,561.4483764597609
2024-06-27 22:30:00,236.59931046890517,587.0538516550788,607.2131334216393,607.989268278624,589.4712970561762,557.0765854569579,537.539815102719,601.2818981454224,538.8301500729533,577.9010267904096,353.75330498248275,577.9348047979786
2024-06-27 23:00:00,236.59931046164792,606.6764357934709,607.9882402744252,542.7688215575671,606.9351967999502,583.2841054884374,563.0875156814217,601.2818981454224,538.830150076861,511.651146793599,405.8797076330049,577.9348047979786
2024-06-27 23:30:00,236.5993104543907,607.9784971820025,542.7677558907109,577.9442839136932,541.6762230912143,583.2841054884374,604.8440440319373,608.0,579.0962105681635,553.7031164226194,332.0519864228803,606.9947145973869
2024-06-28 00:00:00,236.59931044713346,607.9997185754503,586.3951446334918,577.9442839183616,541.6762230912076,583.2841054858341,607.9347311590103,608.0,581.5397815879971,602.93626044233,257.421145412059,608.0
2024-06-28 00:30:00,236.59931043987623,607.9997185727289,586.3951446324712,605.4570612776453,552.2091711612393,604.4459615720494,607.9991388461444,538.9137364118175,581.5397815879971,603.6304782603589,313.5403016981087,608.0
2024-06-28 01:00:00,236.599310432619,538.9134442434888,586.3951446324712,608.0,552.2533111061125,608.0,607.9991388440571,538.9137364118278,581.5397815853304,607.8968257979983,355.4173012078767,608.0
2024-06-28 01:30:00,236.59931042536175,587.0536275740524,600.30793825706,608.0,552.2533111096006,608.0,542.7790539381563,587.053910775867,605.9842791335434,542.672993026051,407.5216595969123,542.779945911194
2024-06-28 02:00:00,236.59931041810452,587.0536275713309,600.3079382560394,607.9999999996173,552.2533111094571,607.9999999999462,571.2013094543737,587.0539107819251,605.9842791335409,593.3480055187924,333.714602856125,561.4066097955665
2024-06-28 02:30:00,270.6923351133849,606.6764104627564,607.7568353696823,542.7799466769833,599.9725783914106,542.7799466343893,571.2013094434789,591.6418757703832,605.9842791393826,527.6085362486484,386.09087128577613,602.2695114885124
2024-06-28 03:00:00,270.6923351039256,607.9784966892245,542.5278773336063,579.4596065089702,599.9725783914106,542.7799466379678,606.1521185622513,608.0,608.0,578.7700958245115,312.02657287877224,608.0
2024-06-28 03:30:00,270.6923350944663,607.9784966856772,542.527877332276,579.4596065084714,607.7397675480807,584.9617499247337,606.1521185622513,608.0,538.9137364118175,578.7700958245115,361.82683658086063,608.0
2024-06-28 04:00:00,270.69233508500696,607.9997185689285,583.5493793734659,579.4596065084714,607.7397675463112,584.9617499240701,606.1521185620024,608.0,560.282023788697,512.5479346180766,413.84433705747176,608.0
2024-06-28 04:30:00,323.6965324134781,542.7796549028611,606.2528986887536,605.058532031957,607.7397675481774,584.961749924069,607.9676319008684,608.0,604.3178981762951,564.1717033923408,340.1185111924183,538.9137362812812
2024-06-28 05:00:00,376.1875252168803,542.7796549028611,606.2528986847819,605.0585320304676,538.6435776753451,584.961749924069,538.8801330288514,538.9137363212851,608.0,570.8190571371917,395.3645249139562,554.6397250590265
2024-06-28 05:30:00,427.99881787827024,542.7796549028611,606.2528986808103,605.0585320289782,538.6435776747867,584.9617499238594,538.8801330287729,538.9137363212045,607.9999999999698,570.8190571371804,442.9890038658715,554.6397250590265
2024-06-28 06:00:00,460.72226717882245,552.2396609610817,607.9698236310846,605.0585320283069,586.7920452234096,599.2172165397336,550.168069583664,552.1062288957153,607.9999999992741,570.8190571371814,494.65295523977056,554.6397250590267
2024-06-28 06:30:00,493.0385342142441,552.2396609610817,607.9698236275976,607.9406923252777,603.6127729388911,607.6993566252147,552.2865233331454,599.8325145524021,607.9999999999906,586.1510216773845,496.586247543567,554.6397250477296
2024-06-28 07:00:00,524.8857943433496,599.9616717597457,607.9698236275807,607.9406923252627,603.6127729391637,607.6993566253169,602.6117458681413,599.8325145531292,538.9137364612882,586.1510216773845,548.6073881421961,554.6397250477296
2024-06-28 07:30:00,540.210719511803,599.9616717597457,607.9698236270797,607.9406923247634,608.0,607.6993566170934,608.0,608.0,538.9137364612789,607.720831638632,548.6073881421961,554.6397250473522
2024-06-28 08:00:00,571.2485440186558,599.9616717597453,607.9698236265781,607.9406923242638,608.0,608.0,608.0,608.0,538.9137364656017,608.0,552.5098070599528,554.6397250482298
2024-06-28 08:30:00,574.2296464400791,604.9095775254942,607.9996044222469,607.9992183496045,608.0,608.0,608.0,608.0,589.7124160882996,608.0,602.6635298375463,603.1455725284784
2024-06-28 09:00:00,604.5910842653504,607.9365760717216,607.999604424324,607.9992196880526,608.0,608.0,608.0,608.0,607.9313507460382,608.0,602.6635298378802,603.1455725287822
2024-06-28 09:30:00,604.5910842351984,538.8478921681547,538.9133253952469,538.9129263181961,538.913736411745,547.4631637628105,538.9137364153717,555.7429341355389,547.4776978276316,538.9137364154815,602.6635298378802,533.8760652634437
2024-06-28 10:00:00,607.8980782098131,471.47059686532424,587.0535123710198,587.0531255548424,587.0539107695934,595.3371021031088,552.1062289001723,488.8255195043196,595.3511775064394,587.0539107758548,537.250274548064,582.1696708451992
2024-06-28 10:30:00,607.898078179454,521.4500931942201,521.1014972286233,606.6763537444153,606.6764424565337,529.6661145555544,555.5215459657059,538.3761683339004,529.6806770079148,606.6764422050659,582.4246536465424,606.0704896579886
2024-06-28 11:00:00,607.898078149095,550.5846987498742,569.7726324062729,607.9784955852575,607.9784973115711,551.4867509582992,555.5215459694198,586.5328375499225,570.3956116571848,607.9784973011327,582.4246536440082,607.9658206627699
